epoch;accuracy;loss;val_accuracy;val_loss
0;0.3962264060974121;24455.576171875;NA;NA
1;0.4433962404727936;1.0768758058547974;NA;NA
2;0.4433962404727936;1.0770338773727417;NA;NA
3;0.4433962404727936;1.077317714691162;NA;NA
4;0.4433962404727936;1.0773265361785889;NA;NA
5;0.4433962404727936;1.074745535850525;NA;NA
6;0.4150943458080292;1.0729196071624756;NA;NA
7;0.43396225571632385;1.075897216796875;NA;NA
8;0.4433962404727936;1.0773561000823975;NA;NA
9;0.4433962404727936;1.0762338638305664;NA;NA
10;0.43396225571632385;1.0745770931243896;NA;NA
11;0.4150943458080292;1.0761040449142456;NA;NA
12;0.4433962404727936;1.0762509107589722;NA;NA
13;0.4433962404727936;1.0760895013809204;NA;NA
14;0.3962264060974121;1.0733351707458496;NA;NA
15;0.4245283007621765;1.0763356685638428;NA;NA
16;0.4245283007621765;1.0748465061187744;NA;NA
17;0.4433962404727936;1.0759532451629639;NA;NA
18;0.4433962404727936;1.076793909072876;NA;NA
19;0.38679245114326477;1.0710415840148926;NA;NA
20;0.4433962404727936;1.0770138502120972;NA;NA
21;0.4433962404727936;1.077153205871582;NA;NA
22;0.4433962404727936;1.077203392982483;NA;NA
23;0.4433962404727936;1.0759601593017578;NA;NA
24;0.43396225571632385;1.076285719871521;NA;NA
25;0.4433962404727936;1.0758042335510254;NA;NA
26;0.4433962404727936;1.0780271291732788;NA;NA
27;0.4433962404727936;1.0779162645339966;NA;NA
28;0.4433962404727936;1.076168179512024;NA;NA
29;0.4433962404727936;1.0776197910308838;NA;NA
30;0.43396225571632385;1.0765572786331177;NA;NA
31;0.4433962404727936;1.0768247842788696;NA;NA
32;0.4433962404727936;1.0760464668273926;NA;NA
33;0.4433962404727936;1.0770766735076904;NA;NA
34;0.4433962404727936;1.0707205533981323;NA;NA
35;0.4433962404727936;1.078376054763794;NA;NA
36;0.4150943458080292;1.0758296251296997;NA;NA
37;0.4433962404727936;1.0750540494918823;NA;NA
38;0.4433962404727936;1.076586127281189;NA;NA
39;0.3962264060974121;1.073835849761963;NA;NA
40;0.43396225571632385;1.0756992101669312;NA;NA
41;0.4433962404727936;1.0775034427642822;NA;NA
42;0.4433962404727936;1.075888752937317;NA;NA
43;0.43396225571632385;1.0768438577651978;NA;NA
44;0.4433962404727936;1.076658010482788;NA;NA
45;0.43396225571632385;1.075399398803711;NA;NA
46;0.4433962404727936;1.0732159614562988;NA;NA
47;0.4433962404727936;1.0764992237091064;NA;NA
48;0.4245283007621765;1.0757877826690674;NA;NA
49;0.43396225571632385;1.070068597793579;NA;NA
50;0.4433962404727936;1.0775127410888672;NA;NA
51;0.4245283007621765;1.0754119157791138;NA;NA
52;0.43396225571632385;1.0755093097686768;NA;NA
53;0.4433962404727936;1.0770978927612305;NA;NA
54;0.43396225571632385;1.0733402967453003;NA;NA
55;0.4433962404727936;1.0773122310638428;NA;NA
56;0.4433962404727936;1.075929045677185;NA;NA
57;0.4245283007621765;1.0760059356689453;NA;NA
58;0.4433962404727936;1.0770682096481323;NA;NA
59;0.4433962404727936;1.0758056640625;NA;NA
60;0.43396225571632385;1.0780787467956543;NA;NA
61;0.4433962404727936;1.074924349784851;NA;NA
62;0.43396225571632385;1.077505350112915;NA;NA
63;0.4433962404727936;1.0778151750564575;NA;NA
64;0.4433962404727936;1.0773074626922607;NA;NA
65;0.4245283007621765;1.0760592222213745;NA;NA
66;0.4433962404727936;1.0766496658325195;NA;NA
67;0.43396225571632385;1.0756512880325317;NA;NA
68;0.4433962404727936;1.0782663822174072;NA;NA
69;0.4433962404727936;1.074347972869873;NA;NA
70;0.4433962404727936;1.07711660861969;NA;NA
71;0.4433962404727936;1.0778383016586304;NA;NA
72;0.4245283007621765;1.073913812637329;NA;NA
73;0.4433962404727936;1.0773768424987793;NA;NA
74;0.4245283007621765;1.0687569379806519;NA;NA
75;0.4433962404727936;1.07882821559906;NA;NA
76;0.4433962404727936;1.0781739950180054;NA;NA
77;0.4245283007621765;1.0743330717086792;NA;NA
78;0.4433962404727936;1.076403021812439;NA;NA
79;0.4433962404727936;1.0771007537841797;NA;NA
80;0.4245283007621765;1.0732778310775757;NA;NA
81;0.4245283007621765;1.0736173391342163;NA;NA
82;0.4433962404727936;1.0757497549057007;NA;NA
83;0.4433962404727936;1.078405737876892;NA;NA
84;0.4433962404727936;1.0701185464859009;NA;NA
85;0.43396225571632385;1.0777392387390137;NA;NA
86;0.4433962404727936;1.0766156911849976;NA;NA
87;0.4433962404727936;1.0766080617904663;NA;NA
88;0.43396225571632385;1.0738866329193115;NA;NA
89;0.4433962404727936;1.0769453048706055;NA;NA
90;0.43396225571632385;1.0745213031768799;NA;NA
91;0.4433962404727936;1.0777928829193115;NA;NA
92;0.4433962404727936;1.0748686790466309;NA;NA
93;0.4150943458080292;1.076030969619751;NA;NA
94;0.4433962404727936;1.0754286050796509;NA;NA
95;0.4433962404727936;1.0775790214538574;NA;NA
96;0.4433962404727936;1.0779790878295898;NA;NA
97;0.4433962404727936;1.075533151626587;NA;NA
98;0.40566039085388184;1.0750356912612915;NA;NA
99;0.4433962404727936;1.0777283906936646;NA;NA
